ID,gre,mesoregiao,tipoEscola,serie,sexo,idade,afTL,diasAFMV,afmvH,afmvMin,tvSemH,tvSemMin,tvFdsH,tvFdsMin,mediaTV_sem,media_sed_tv,pcSemH,pcSemMin,pcFdsH,pcFdsMin,mediaPC_sem,media_sed_pc,vgSemH,vgSemMin,vgFdsH,vgFdsMin,mediaVG_sem,media_sed_vg,sptSemH,sptSemMin,sptFdsH,sptFdsMin,mediaSPT_sem,media_sed_spt,massa,estatura
118,8,3,5,2,1,16,1,7,4,0,1,0,15,0,5.00,1,1,0,5,0,2.14,1,2,0,3,0,2.29,1,5,0,4,0,4.71,1,66.1,181.5
119,8,3,5,2,1,16,1,5,1,0,0,50,2,0,1.17,2,0,0,0,0,0.00,2,0,50,2,0,1.17,2,1,30,2,30,1.79,2,81.0,182.0
120,8,3,5,2,1,15,1,3,0,20,1,0,5,0,2.14,1,2,0,6,0,3.14,1,0,0,0,0,0.00,2,3,0,10,0,5.00,1,68.9,171.5
121,8,3,5,2,1,15,1,4,3,0,3,0,20,0,7.86,1,15,0,17,30,15.71,1,10,50,16,0,12.31,1,10,0,7,0,9.14,1,39.6,152.0
122,8,3,5,2,1,15,2,6,0,18,1,0,8,0,3.00,1,2,30,5,0,3.21,1,0,0,0,0,0.00,2,12,0,15,0,12.86,1,66.4,175.6
123,8,3,5,2,1,16,2,1,0,0,1,30,3,0,1.93,2,4,0,8,0,5.14,1,0,0,0,0,0.00,2,1,0,12,0,4.14,1,56.8,173.9
124,8,3,5,2,1,16,1,4,1,0,4,30,9,30,5.93,1,3,30,6,30,4.36,1,0,0,2,0,0.57,2,11,0,12,0,11.29,1,60.2,174.5
125,5,2,4,3,2,17,2,1,0,0,15,0,3,0,11.57,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,47.3,158.6
126,5,2,4,3,2,16,2,1,0,0,5,0,7,0,5.57,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,8,0,9,0,8.29,1,63.4,152.9
127,5,2,4,3,2,16,1,8,2,30,1,0,1,0,1.00,2,1,0,0,0,0.71,2,0,0,0,0,0.00,2,4,0,2,0,3.43,1,50.1,131.0
128,5,2,4,3,2,16,2,7,2,0,1,30,4,0,2.21,1,5,0,6,0,5.29,1,0,0,0,0,0.00,2,0,30,1,0,0.64,2,54.4,164.0
129,5,2,4,3,2,18,2,3,0,30,0,0,0,0,0.00,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,1,0,24,0,7.57,1,74.7,159.9
130,5,2,4,3,2,17,1,3,1,40,3,0,10,0,5.00,1,0,0,0,0,0.00,2,7,0,10,0,7.86,1,20,0,20,0,20.00,1,46.9,154.0
131,5,2,4,3,2,17,2,3,0,30,3,0,3,0,3.00,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,2,0,3,0,2.29,1,60.1,158.9
132,5,2,4,3,2,16,2,1,0,0,5,0,6,0,5.29,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,9,0,8,0,8.71,1,70.2,159.1
133,5,2,4,3,2,16,1,6,3,30,2,30,1,30,2.21,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,8,0,12,0,9.14,1,70.3,168.0
134,5,2,4,3,2,18,2,1,0,0,0,0,0,0,0.00,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,1,30,1,30,1.50,2,50.8,165.0
135,5,2,4,3,2,17,1,1,1,30,3,0,4,0,3.29,1,2,0,0,0,1.43,2,0,0,0,0,0.00,2,10,0,5,0,8.57,1,62.5,160.4
136,5,2,4,3,2,16,1,4,0,40,4,0,1,0,3.14,1,2,0,1,0,1.71,2,0,0,0,0,0.00,2,16,0,17,0,16.29,1,43.2,168.0
137,5,2,4,3,2,17,1,3,1,0,0,30,0,0,0.36,2,0,10,0,0,0.12,2,0,0,0,0,0.00,2,1,0,1,0,1.00,2,,
138,5,2,4,3,2,16,1,3,0,60,6,0,5,0,5.71,1,0,0,0,0,0.00,2,0,10,0,0,0.12,2,20,0,20,0,20.00,1,52.2,161.2
139,5,2,4,3,2,17,2,1,0,50,5,0,0,0,3.57,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,5,0,0,0,3.57,1,44.3,161.2
140,5,2,4,3,2,18,2,1,0,0,0,30,1,0,0.64,2,0,0,1,0,0.29,2,0,0,0,0,0.00,2,10,0,10,0,10.00,1,68.8,151.4
141,5,2,4,3,2,18,2,3,1,0,4,0,0,0,2.86,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,5,0,0,0,3.57,1,46.4,154.4
142,5,2,4,3,2,18,1,3,2,30,1,0,3,0,1.57,2,1,0,8,0,3.00,1,0,0,0,0,0.00,2,2,0,1,0,1.71,2,59.6,155.7
143,5,2,4,3,2,18,1,4,1,30,2,0,3,30,2.43,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,10,0,20,0,12.86,1,55.9,161.9
144,5,2,4,3,2,16,2,8,0,20,1,30,10,0,3.93,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,3,0,9,0,4.71,1,47.9,171.1
145,5,2,4,3,2,16,1,4,0,60,1,0,3,0,1.57,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,7,0,18,0,10.14,1,73.3,161.7
146,5,2,4,3,2,16,2,1,0,0,3,0,5,0,3.57,1,3,0,5,0,3.57,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,48.9,157.3
147,5,2,4,3,2,17,1,4,0,40,0,30,1,0,0.64,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,12,50,0,10,9.21,1,65.3,168.2
148,5,2,4,3,2,16,2,3,0,40,3,0,1,30,2.57,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,5,0,9,0,6.14,1,65.1,153.9
149,5,2,4,3,2,18,2,3,0,50,1,0,0,50,0.95,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,1,0,0,0,0.71,2,47.4,156.5
150,5,2,4,3,1,19,1,3,1,0,0,0,2,0,0.57,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,83.7,167.0
151,5,2,4,3,1,16,1,3,1,0,1,0,3,0,1.57,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,5,0,7,0,5.57,1,73.1,156.8
152,5,2,4,3,1,17,1,3,1,30,1,0,0,0,0.71,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,3,0,4,0,3.29,1,58.3,173.0
